"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003341","BP","GO:0003341","cilium movement","30/376","135/10715",0.222222222222222,6.33274231678487,11.8906371042039,2.36334439732107e-16,1.09139244268287e-12,9.71458933846186e-13,"Cfap91/Ulk4/Zmynd10/Ttc21a/Drc7/Iqub/Ccdc146/Cfap251/Ropn1l/Cfap276/Cimip2c/Ccdc40/Cfap69/Dnai1/Eno4/Cfap90/Spaca9/Cfap126/Dnaaf11/Rsph4a/Tekt1/Meig1/Dnai4/Pltp/Cfap52/Clxn/Nme5/Rsph1/Anxa5/Aqp4",30
"GO:0060285","BP","GO:0060285","cilium-dependent cell motility","26/376","111/10715",0.234234234234234,6.67505271228675,11.4611185691534,6.45744651115069e-15,9.94016266283129e-12,8.84783460562928e-12,"Ttc21a/Drc7/Iqub/Ccdc146/Cfap251/Ropn1l/Cfap276/Cimip2c/Ccdc40/Cfap69/Dnai1/Eno4/Cfap90/Spaca9/Cfap126/Dnaaf11/Rsph4a/Tekt1/Meig1/Pltp/Cfap52/Clxn/Nme5/Rsph1/Anxa5/Ift46",26
"GO:0044782","BP","GO:0044782","cilium organization","33/376","288/10715",0.114583333333333,3.2653202570922,7.43150272727134,1.75932328886769e-09,5.41636996532732e-07,4.82116311791461e-07,"Cfap91/Ulk4/Zmynd10/Ttc21a/Drc7/Iqub/Stil/Ccdc146/Cntrob/Ccdc40/Cfap69/Dnai1/Eno4/Hyls1/Cep97/Spaca9/Cfap126/Dnaaf11/Rsph4a/Ccdc96/Tekt1/Meig1/Dnai4/Cimap3/Wwtr1/B9d1/Clxn/Nme5/Dynlt2b/Rsph1/Gsn/Ift46/Dync2li1",33
"GO:0035082","BP","GO:0035082","axoneme assembly","15/376","62/10715",0.241935483870968,6.89451784488675,8.87643636281506,2.3590535812497e-09,6.80881839888194e-07,6.06059489130268e-07,"Cfap91/Ulk4/Zmynd10/Drc7/Ccdc40/Cfap69/Dnai1/Spaca9/Dnaaf11/Rsph4a/Meig1/Dnai4/Clxn/Rsph1/Ift46",15
"GO:0001578","BP","GO:0001578","microtubule bundle formation","16/376","92/10715",0.173913043478261,4.95605920444033,7.26714090852296,1.0603881566573e-07,2.44843625372171e-05,2.17937671144567e-05,"Cfap91/Ulk4/Zmynd10/Drc7/Ccdc40/Cfap69/Dnai1/Spaca9/Tppp3/Dnaaf11/Rsph4a/Meig1/Dnai4/Clxn/Rsph1/Ift46",16
"GO:0003351","BP","GO:0003351","epithelial cilium movement involved in extracellular fluid movement","10/376","33/10715",0.303030303030303,8.63555770470664,8.37725861069168,1.12997916160209e-07,2.48487798489451e-05,2.2118138476472e-05,"Ulk4/Iqub/Ropn1l/Ccdc40/Dnai1/Dnaaf11/Rsph4a/Nme5/Rsph1/Aqp4",10
"GO:0006858","BP","GO:0006858","extracellular transport","10/376","35/10715",0.285714285714286,8.14209726443769,8.0705778654757,2.10460091011398e-07,3.77617985771157e-05,3.36121409230783e-05,"Ulk4/Iqub/Ropn1l/Ccdc40/Dnai1/Dnaaf11/Rsph4a/Nme5/Rsph1/Aqp4",10
"GO:0006959","BP","GO:0006959","humoral immune response","12/376","75/10715",0.16,4.55957446808511,5.89913556473159,1.0369857022023e-05,0.00126021051915005,0.00112172553105262,"Adm/Trem2/A2m/Ccl6/Il1b/Wfdc2/Serping1/Rarres2/Rnase4/Lgals3/Hmgn2/Gapdh",12
"GO:0007204","BP","GO:0007204","positive regulation of cytosolic calcium ion concentration","11/376","70/10715",0.157142857142857,4.47815349544073,5.56743822637477,2.88819214714027e-05,0.00303128893988494,0.00269817950588104,"Gipr/P2rx7/Adm/Gper1/Il1b/Ccrl2/Kdr/Lrp6/Cd24a/Ednrb/Hmgb1",11
"GO:0061620","BP","GO:0061620","glycolytic process through glucose-6-phosphate","6/376","19/10715",0.31578947368421,8.9991601343785,6.65489136089559,3.30153899845028e-05,0.00332104369353005,0.00295609300522779,"Pfkl/Galk1/Gpi1/Eno1/Tpi1/Gapdh",6
"GO:0019730","BP","GO:0019730","antimicrobial humoral response","8/376","40/10715",0.2,5.69946808510638,5.67839022265717,6.12560077351945e-05,0.00565760487442257,0.00503588863591441,"Adm/Ccl6/Wfdc2/Rarres2/Rnase4/Lgals3/Hmgn2/Gapdh",8
"GO:0021782","BP","GO:0021782","glial cell development","13/376","104/10715",0.125,3.56216755319149,5.00698759325218,6.73458568820074e-05,0.00586798428454924,0.00522314937684685,"Ulk4/Mag/Trem2/Il1b/Zfp488/Ndrg1/Vim/Sox10/Cntf/Gfap/Eif2b5/Clu/Ntrk2",13
"GO:0050866","BP","GO:0050866","negative regulation of cell activation","13/376","104/10715",0.125,3.56216755319149,5.00698759325218,6.73458568820074e-05,0.00586798428454924,0.00522314937684685,"Mertk/Tnfaip3/Gper1/Trem2/Ceacam1/Fn1/Lgals3/Cd24a/Lgals1/Apoe/Prnp/Hmgb1/Cd9",13
"GO:0032612","BP","GO:0032612","interleukin-1 production","9/376","54/10715",0.166666666666667,4.74955673758865,5.267545719037,9.62076224879145e-05,0.00793369286873552,0.0070618565002877,"Tnfaip3/P2rx7/Trem2/Ceacam1/Il1b/Inava/S1pr3/Aqp4/Hmgb1",9
"GO:2000147","BP","GO:2000147","positive regulation of cell motility","28/376","370/10715",0.0756756756756757,2.15655549166187,4.31750217932335,0.000106474792428114,0.00847759640401774,0.00754599028006867,"Ctsh/Tnfaip6/Gper1/Trem2/Ccl6/Pgf/Cfap69/Il1b/Perp/Prr5/Fbxo5/Ezh2/Pdgfc/Kdr/Rarres2/Fn1/Lgals3/Anxa3/Vim/Acta2/Angpt1/Igfbp5/Sparc/S100a11/Gpi1/Bsg/Hmgb1/F3",28
"GO:0045765","BP","GO:0045765","regulation of angiogenesis","17/376","173/10715",0.0982658959537572,2.80031668921412,4.55240539057661,0.000120573223765627,0.00943740927711297,0.00840032897064716,"Ctsh/Cybb/Adm/Reck/Ceacam1/Pgf/Il1b/Adrb2/E2f2/Kdr/Lgals3/Anxa3/Emp2/Cnmd/Sparc/Hmgb1/F3",17
"GO:0070374","BP","GO:0070374","positive regulation of ERK1 and ERK2 cascade","13/376","112/10715",0.116071428571429,3.30772701367781,4.68176424188707,0.000145217331992885,0.0105754215801181,0.00941328469156419,"Gper1/Trem2/Il1b/Pdgfc/Ntsr2/Dcc/Kdr/Ccn2/Acta2/Angpt1/Mif/Apoe/Hmgb1",13
"GO:0010951","BP","GO:0010951","negative regulation of endopeptidase activity","5/376","16/10715",0.3125,8.90541888297872,6.03453430006566,0.000164320953467127,0.0109975965668289,0.0097890667168441,"Reck/Serping1/Timp3/Serpinb6a/Gapdh",5
"GO:0061718","BP","GO:0061718","glucose catabolic process to pyruvate","5/376","16/10715",0.3125,8.90541888297872,6.03453430006566,0.000164320953467127,0.0109975965668289,0.0097890667168441,"Pfkl/Gpi1/Eno1/Tpi1/Gapdh",5
"GO:0097529","BP","GO:0097529","myeloid leukocyte migration","13/376","114/10715",0.114035087719298,3.24969671519224,4.60504054655185,0.000173868763685454,0.0114703707242775,0.0102098875517548,"Tnfaip6/Trem2/Pgf/Il1b/Perp/Rarres2/Lgals3/Emp2/Mif/Bsg/Ednrb/Hmgb1/Cd9",13
"GO:0040017","BP","GO:0040017","positive regulation of locomotion","28/376","382/10715",0.0732984293193717,2.08881029297093,4.13238865300537,0.000182758290558929,0.0115623417703778,0.0102917518664551,"Ctsh/Tnfaip6/Gper1/Trem2/Ccl6/Pgf/Cfap69/Il1b/Perp/Prr5/Fbxo5/Ezh2/Pdgfc/Kdr/Rarres2/Fn1/Lgals3/Anxa3/Vim/Acta2/Angpt1/Igfbp5/Sparc/S100a11/Gpi1/Bsg/Hmgb1/F3",28
"GO:0032787","BP","GO:0032787","monocarboxylic acid metabolic process","28/376","385/10715",0.0727272727272727,2.07253384912959,4.08716045022335,0.000208202498690585,0.0129929613372043,0.0115651601335239,"P2rx7/Cthrc1/Slc16a3/Ceacam1/Acot4/Eno4/Il1b/Pon3/Ucp2/Etfbkmt/Pdk1/Grhpr/Pfkl/Galk1/Idh2/Ptgds/Btd/Hacd2/Mif/Acad11/Erlin2/Gpi1/Acaa2/Insig2/Eno1/Tpi1/Mid1ip1/Gapdh",28
"GO:0050918","BP","GO:0050918","positive chemotaxis","7/376","36/10715",0.194444444444444,5.54114952718676,5.20453861553168,0.000214380105195,0.0131291884598205,0.011686417208543,"Pgf/S100a4/Kdr/Lgals3/Angpt1/Mif/Hmgb1",7
"GO:0070371","BP","GO:0070371","ERK1 and ERK2 cascade","18/376","199/10715",0.0904522613065327,2.57764888271143,4.28392717626735,0.00021980438646956,0.0131291884598205,0.011686417208543,"Ctsh/Fam83d/Gper1/Trem2/Ceacam1/Il1b/Pdgfc/Ntsr2/Dcc/Kdr/Fn1/Ccn2/Acta2/Angpt1/Mif/Apoe/Ezr/Hmgb1",18
"GO:0030195","BP","GO:0030195","negative regulation of blood coagulation","5/376","17/10715",0.294117647058824,8.38157071339174,5.8083452659013,0.000226127010280209,0.0131291884598205,0.011686417208543,"Ceacam1/Serping1/Apoe/Anxa5/Cd9",5
"GO:0050819","BP","GO:0050819","negative regulation of coagulation","5/376","17/10715",0.294117647058824,8.38157071339174,5.8083452659013,0.000226127010280209,0.0131291884598205,0.011686417208543,"Ceacam1/Serping1/Apoe/Anxa5/Cd9",5
"GO:1900047","BP","GO:1900047","negative regulation of hemostasis","5/376","17/10715",0.294117647058824,8.38157071339174,5.8083452659013,0.000226127010280209,0.0131291884598205,0.011686417208543,"Ceacam1/Serping1/Apoe/Anxa5/Cd9",5
"GO:0060326","BP","GO:0060326","cell chemotaxis","15/376","150/10715",0.1,2.84973404255319,4.35061491168635,0.000247693132780695,0.0141215665084105,0.0125697424757455,"Tnfaip6/Ccl6/Pgf/Il1b/Ccrl2/Ch25h/Perp/Kdr/Rarres2/Lgals3/Clxn/Mif/Bsg/Ednrb/Hmgb1",15
"GO:0009191","BP","GO:0009191","ribonucleoside diphosphate catabolic process","11/376","89/10715",0.123595505617978,3.52214319866125,4.55627904363893,0.000268615157720173,0.0147674380756162,0.0131446389836751,"P2rx7/Eno4/Ucp2/Entpd2/Pfkl/Galk1/Cant1/Gpi1/Eno1/Tpi1/Gapdh",11
"GO:0061045","BP","GO:0061045","negative regulation of wound healing","6/376","28/10715",0.214285714285714,6.10657294832827,5.15954170283065,0.000350723284669913,0.0189922107236917,0.0169051498429523,"Ceacam1/Serping1/Apoe/Anxa5/Cd109/Cd9",6
"GO:0032652","BP","GO:0032652","regulation of interleukin-1 production","8/376","51/10715",0.156862745098039,4.47017104714226,4.73703264506178,0.000362165113362206,0.0190054374262121,0.0169169230583662,"Tnfaip3/P2rx7/Trem2/Ceacam1/Inava/S1pr3/Aqp4/Hmgb1",8
"GO:0051402","BP","GO:0051402","neuron apoptotic process","22/376","287/10715",0.0766550522648084,2.18446511972718,3.8787625075284,0.000488186584826724,0.0239148495971765,0.0212868381566352,"Mag/Trem2/Egln3/Mybl2/Il1b/Fam162a/Birc5/St8sia2/Ucp2/Kdr/Thrb/Angpt1/Cntf/Ppp2r2b/Apoe/Prnp/Gpi1/Bnip3/Mt1/Clu/Gapdh/Ntrk2",22
"GO:0002697","BP","GO:0002697","regulation of immune effector process","17/376","195/10715",0.0871794871794872,2.48438352427714,3.98920208079837,0.000502325771097039,0.0239148495971765,0.0212868381566352,"Tnfaip3/P2rx7/Trem2/A2m/Ceacam1/Il1b/H2-Q10/Serping1/Inava/Lgals3/Ap1g1/Cd24a/Angpt1/Lgals1/Mif/Gpi1/Hmgb1",17
"GO:0003352","BP","GO:0003352","regulation of cilium movement","5/376","20/10715",0.25,7.12433510638298,5.22774054528012,0.000519380848330919,0.024227280379719,0.0215649358078919,"Ccdc40/Cfap69/Rsph4a/Clxn/Anxa5",5
"GO:0014013","BP","GO:0014013","regulation of gliogenesis","11/376","97/10715",0.11340206185567,3.23165716165826,4.21039129735671,0.00056973734382192,0.0254824963208574,0.0226822156169105,"Mag/Trem2/Il1b/Gjc2/Zfp488/Ezh2/Vim/Idh2/Sox10/Gfap/Tmem98",11
"GO:0002252","BP","GO:0002252","immune effector process","23/376","310/10715",0.0741935483870968,2.11431880576527,3.79664280977052,0.000577988285095359,0.0254824963208574,0.0226822156169105,"Ctsh/Tnfaip3/P2rx7/Trem2/A2m/Ceacam1/Il1b/H2-Q10/Serping1/Inava/Lgals3/Anxa3/Ap1g1/Cd24a/Emp2/Angpt1/Ptgds/Lgals1/Mif/Tmem98/Gpi1/Hmgb1/Clu",23
"GO:2001212","BP","GO:2001212","regulation of vasculogenesis","4/376","12/10715",0.333333333333333,9.4991134751773,5.6174855488061,0.000590434626750052,0.0254824963208574,0.0226822156169105,"Adm/Ceacam1/Kdr/Emp2",4
"GO:0042552","BP","GO:0042552","myelination","13/376","131/10715",0.099236641221374,2.82798034757187,4.01432685182774,0.00068140528132816,0.0286066326288495,0.0254630394601576,"Ulk4/Mag/Gal3st1/Zfp488/Ndrg1/S100b/Sox10/Eif2b5/Bcas1/Tmem98/Clu/Cd9/Ntrk2",13
"GO:0006954","BP","GO:0006954","inflammatory response","28/376","415/10715",0.0674698795180723,1.92271212509613,3.655965926017,0.000696615611906846,0.0289817197818542,0.0257969081507466,"Ulk4/Cybb/Tnfaip6/Tnfaip3/P2rx7/Gper1/Trem2/A2m/Ccl6/Chia1/Il1b/Ccrl2/Gm15441/Ezh2/Rarres2/Fn1/Cd24a/Lgals1/Cntf/Mif/Apoe/Seh1l/Ednrb/S1pr3/Hmgb1/Lxn/F3/Clu",28
"GO:0071456","BP","GO:0071456","cellular response to hypoxia","12/376","116/10715",0.103448275862069,2.94800073367571,4.02268605952045,0.000750446427818527,0.0302327729334729,0.026910482620686,"Cybb/Trem2/Egln3/Slc2a4/Adrb2/Fam162a/Ccna2/Pdk1/Ndrg1/Acaa2/Eno1/Bnip3",12
"GO:0046596","BP","GO:0046596","regulation of viral entry into host cell","4/376","13/10715",0.307692307692308,8.7684124386252,5.34443689698235,0.000829370213283438,0.0324578952961264,0.0288910854850297,"Ch25h/Lgals1/Bsg/Hmgb1",4
"GO:0052548","BP","GO:0052548","regulation of endopeptidase activity","6/376","33/10715",0.181818181818182,5.18133462282398,4.58750006586208,0.000889139095068832,0.0336561011559661,0.0299576200711285,"Reck/Serping1/Psmb8/Timp3/Serpinb6a/Gapdh",6
"GO:0050000","BP","GO:0050000","chromosome localization","10/376","87/10715",0.114942528735632,3.2755563707508,4.06398342219928,0.000904710690689238,0.033967105443926,0.0302344479858064,"Fam83d/Spdl1/Birc5/Spdya/Spc24/Zw10/Katnb1/Gem/Seh1l/Nudc",10
"GO:0060972","BP","GO:0060972","left/right pattern formation","9/376","73/10715",0.123287671232877,3.51337073739435,4.10900654445153,0.000977402801871253,0.0364003720890439,0.0324003220824044,"Stil/Ccdc40/Dnai1/Dnaaf11/Cimap3/Cfap52/Lrp6/Alg5/Dync2li1",9
"GO:1900744","BP","GO:1900744","regulation of p38MAPK cascade","5/376","23/10715",0.217391304347826,6.19507400555042,4.75616220430375,0.00103360065920334,0.0370013011178375,0.0329352148036643,"Ulk4/Trem2/Il1b/Gsn/Ezr",5
"GO:0050878","BP","GO:0050878","regulation of body fluid levels","14/376","155/10715",0.0903225806451613,2.57395332875772,3.76405721482693,0.00109538685663858,0.0386061616078167,0.0343637165960485,"Mertk/Adm/Ceacam1/Adrb2/Serping1/Entpd2/Emp2/Angpt1/Apoe/Anxa5/Ednrb/Aqp4/F3/Cd9",14
"GO:0009185","BP","GO:0009185","ribonucleoside diphosphate metabolic process","11/376","105/10715",0.104761904761905,2.98543566362715,3.89873082760147,0.00111187083019481,0.0386061616078167,0.0343637165960485,"P2rx7/Eno4/Ucp2/Entpd2/Pfkl/Galk1/Cant1/Gpi1/Eno1/Tpi1/Gapdh",11
"GO:0030449","BP","GO:0030449","regulation of complement activation","4/376","14/10715",0.285714285714286,8.14209726443769,5.09927075173932,0.00112918949860925,0.0389149037655039,0.0346385309667646,"Trem2/A2m/Il1b/Serping1",4
"GO:0007099","BP","GO:0007099","centriole replication","5/376","24/10715",0.208333333333333,5.93694592198582,4.61727032801285,0.00126846585221588,0.042447647141543,0.0377830599000992,"Stil/Cntrob/Mdm1/Cetn4/Cetn2",5
"GO:0032370","BP","GO:0032370","positive regulation of lipid transport","7/376","48/10715",0.145833333333333,4.15586214539007,4.17876521641428,0.00131731569729982,0.0428405907755673,0.0381328228165736,"P2rx7/Trem2/Il1b/Pltp/Mif/Apoe/Abca1",7
"GO:0007596","BP","GO:0007596","blood coagulation","9/376","77/10715",0.116883116883117,3.33085797181542,3.91436803690226,0.00143637172534329,0.0437690675711371,0.0389592689624787,"Mertk/Ceacam1/Serping1/Entpd2/Angpt1/Apoe/Anxa5/F3/Cd9",9
"GO:0006081","BP","GO:0006081","aldehyde metabolic process","7/376","49/10715",0.142857142857143,4.07104863221884,4.10879449344038,0.00149142419166228,0.0437690675711371,0.0389592689624787,"Kdm3a/Grhpr/Idh2/Ednrb/Eno1/Tpi1/Gapdh",7
"GO:0001516","BP","GO:0001516","prostaglandin biosynthetic process","4/376","15/10715",0.266666666666667,7.59929078014184,4.87732259214927,0.00149751248944124,0.0437690675711371,0.0389592689624787,"Cthrc1/Il1b/Ptgds/Mif",4
"GO:0045939","BP","GO:0045939","negative regulation of steroid metabolic process","4/376","15/10715",0.266666666666667,7.59929078014184,4.87732259214927,0.00149751248944124,0.0437690675711371,0.0389592689624787,"Ch25h/Apoe/Erlin2/Insig2",4
"GO:0050860","BP","GO:0050860","negative regulation of T cell receptor signaling pathway","4/376","15/10715",0.266666666666667,7.59929078014184,4.87732259214927,0.00149751248944124,0.0437690675711371,0.0389592689624787,"Ceacam1/Lgals3/Prnp/Ezr",4
"GO:0043065","BP","GO:0043065","positive regulation of apoptotic process","28/376","439/10715",0.0637813211845103,1.81759802258518,3.33572715622354,0.00163396255990158,0.0462922644271504,0.0412051908066883,"Ctsh/P2rx7/Adm/Gper1/Pidd1/Mybl2/Il1b/Adrb2/Perp/Fam162a/St8sia2/Wwox/Ccn2/Lrp6/Plekhf1/Cd24a/S100b/Lgals1/Ppp2r2b/Eif2b5/Gsn/Katnb1/Anxa5/Prnp/Hmgb1/Tomm22/Bnip3/Clu",28
"GO:0033674","BP","GO:0033674","positive regulation of kinase activity","15/376","180/10715",0.0833333333333333,2.37477836879433,3.54717119104738,0.00166832333446116,0.0469775436496441,0.0418151644484649,"Stil/P2rx7/Trem2/Ceacam1/Il1b/Adrb2/Spdya/Ezh2/Pdgfc/Cimap3/Cd24a/Emp2/Angpt1/Mif/Prnp",15
"GO:0050817","BP","GO:0050817","coagulation","9/376","79/10715",0.113924050632911,3.24653245354161,3.82179646117134,0.00172341761443083,0.0479442321894071,0.0426756232362232,"Mertk/Ceacam1/Serping1/Entpd2/Angpt1/Apoe/Anxa5/F3/Cd9",9
"GO:0001913","BP","GO:0001913","T cell mediated cytotoxicity","5/376","26/10715",0.192307692307692,5.48025777414075,4.36165804071224,0.0018531618031547,0.0497552395753976,0.0442876183679259,"Ctsh/P2rx7/Ceacam1/H2-Q10/Emp2",5
"GO:1990000","BP","GO:1990000","amyloid fibril formation","5/376","26/10715",0.192307692307692,5.48025777414075,4.36165804071224,0.0018531618031547,0.0497552395753976,0.0442876183679259,"Trem2/Gsn/Serf1/Apoe/Clu",5
"GO:0001666","BP","GO:0001666","response to hypoxia","17/376","220/10715",0.0772727272727273,2.20206721470019,3.43541610365191,0.00191513406034613,0.0498207713737916,0.0443459488533783,"Cybb/Adm/Trem2/Egln3/Pgf/Slc2a4/Adrb2/Fam162a/Ucp2/Kdr/Ccna2/Pdk1/Ndrg1/Cd24a/Acaa2/Eno1/Bnip3",17
"GO:0090083","BP","GO:0090083","regulation of inclusion body assembly","4/376","16/10715",0.25,7.12433510638298,4.67495914025987,0.00194190966809928,0.0498207713737916,0.0443459488533783,"Apoe/Dnaja4/Psmc6/Clu",4
"GO:1902430","BP","GO:1902430","negative regulation of amyloid-beta formation","4/376","16/10715",0.25,7.12433510638298,4.67495914025987,0.00194190966809928,0.0498207713737916,0.0443459488533783,"Apoe/Prnp/Clu/Ntrk2",4
"GO:0051303","BP","GO:0051303","establishment of chromosome localization","9/376","81/10715",0.111111111111111,3.16637115839243,3.73213652629169,0.0020546818164034,0.0518498394980925,0.0461520419502749,"Fam83d/Spdl1/Birc5/Spdya/Spc24/Zw10/Gem/Seh1l/Nudc",9
"GO:0009611","BP","GO:0009611","response to wounding","22/376","322/10715",0.0683229813664596,1.94702325888727,3.29039921908066,0.00218834755555447,0.0545575055170745,0.0485621615746566,"Gipr/Mertk/Tnfaip3/Mag/Trem2/Ceacam1/A330069E16Rik/Serping1/Kdr/Fn1/Entpd2/Cd24a/Angpt1/Cntf/Apoe/S100a10/Anxa5/Cd109/Hmgb1/F3/Bnip3/Cd9",22
